0	0.47	0.16	0.37
1	0.316	0.197	0.487
2	0.232	0.21	0.558
3	0.169	0.241	0.59
4	0.14	0.256	0.604
5	0.119	0.27	0.611
6	0.109	0.275	0.616
7	0.102	0.279	0.619
8	0.096	0.278	0.626
9	0.093	0.294	0.613
10	0.096	0.296	0.608
11	0.099	0.295	0.606
12	0.098	0.291	0.611
13	0.084	0.298	0.618
14	0.091	0.291	0.618
15	0.096	0.289	0.615
16	0.097	0.289	0.614
17	0.105	0.285	0.61
18	0.104	0.281	0.615
19	0.095	0.285	0.62
20	0.097	0.286	0.617
21	0.102	0.29	0.608
22	0.09	0.293	0.617
23	0.092	0.297	0.611
24	0.086	0.305	0.609
25	0.087	0.304	0.609
26	0.081	0.31	0.609
27	0.09	0.302	0.608
28	0.082	0.319	0.599
29	0.084	0.33	0.586
30	0.094	0.327	0.579
31	0.087	0.341	0.572
32	0.093	0.328	0.579
33	0.093	0.331	0.576
34	0.095	0.326	0.579
35	0.094	0.327	0.579
36	0.113	0.312	0.575
37	0.103	0.314	0.583
38	0.097	0.312	0.591
39	0.087	0.314	0.599
40	0.101	0.306	0.593
41	0.091	0.313	0.596
42	0.089	0.312	0.599
43	0.075	0.323	0.602
44	0.089	0.315	0.596
45	0.085	0.319	0.596
46	0.082	0.326	0.592
47	0.101	0.324	0.575
48	0.099	0.328	0.573
49	0.082	0.335	0.583
50	0.091	0.329	0.58
51	0.095	0.323	0.582
52	0.095	0.322	0.583
53	0.089	0.317	0.594
54	0.083	0.313	0.604
55	0.088	0.307	0.605
56	0.083	0.313	0.604
57	0.074	0.321	0.605
58	0.071	0.335	0.594
59	0.079	0.329	0.592
60	0.086	0.326	0.588
61	0.08	0.324	0.596
62	0.084	0.316	0.6
63	0.085	0.309	0.606
64	0.088	0.308	0.604
65	0.099	0.303	0.598
66	0.107	0.304	0.589
67	0.1	0.302	0.598
68	0.105	0.289	0.606
69	0.097	0.287	0.616
70	0.105	0.277	0.618
71	0.109	0.275	0.616
72	0.099	0.284	0.617
73	0.089	0.302	0.609
74	0.083	0.3	0.617
75	0.1	0.303	0.597
76	0.095	0.319	0.586
